,ts,spot_asks_depth,spot_bids_depth,perp_asks_depth,perp_bids_depth,spot_depth_ratio,perp_depth_ratio,oi,perp_mid_price,spot_mid_price,sells_slippage,buys_slippage,sells_premium_wrt_spot,buys_premium_wrt_spot,market_order_freq,perp_volume,spot_volume,perp_buy_volume,perp_sell_volume,spot_buy_volume,spot_sell_volume,spot_bids[0].liquidity,spot_asks[0].liquidity,perp_bids[0].liquidity,perp_asks[0].liquidity,spot_bids[1].liquidity,spot_asks[1].liquidity,perp_bids[1].liquidity,perp_asks[1].liquidity,spot_bids[2].liquidity,spot_asks[2].liquidity,perp_bids[2].liquidity,perp_asks[2].liquidity,spot_bids[3].liquidity,spot_asks[3].liquidity,perp_bids[3].liquidity,perp_asks[3].liquidity,spot_bids[4].liquidity,spot_asks[4].liquidity,perp_bids[4].liquidity,perp_asks[4].liquidity,spot_spread,perp_spread,spot_bids_depth_std,spot_asks_depth_std,perp_bids_depth_std,perp_asks_depth_std,spot_spread_std,perp_spread_std
0,1704326413.529,153576.5464173843,351513.5474706401,154319.58553473698,217262.71413989458,2.288849148328355,1.4078751792071735,68692.43211392415,42821.62673684276,42812.46170478204,2.156967894798233,1.241923487803218,76.7290796291308,-59.13138227373215,0.030218181826851584,6663572.8313,1663197.8316341,2940782.9882,3722789.8430999997,835681.7801192,827516.0515149,304020.83832923044,304020.83832923044,159355.07140736838,129279.418761474,15400.996014590835,15400.996014590835,17414.806612631422,3946.204756947414,14408.05429459476,14408.05429459476,12390.577722105294,7368.883303894685,9229.152799749274,9229.152799749274,12512.975316315762,6071.841435052579,8454.50603247526,8454.50603247526,15589.283081473704,7653.237277368426,0.00010682999177233162,0.00024631006106841765,162436.2963488432,95422.0896570258,149328.01035511892,140163.1619785104,0.0009925818494950893,0.00019344636830439697
1,1704326473.5607722,123491.55060962713,319838.7386879727,216325.44700690423,285773.6193006683,2.5899645531136346,1.3210356121050686,68693.18218918912,42842.89805122504,42831.93640973643,0.8488440115545971,0.9871340717924505,79.09483413919557,-64.57202302068144,0.0296828543584576,6333970.6996,1006758.0044832,2321462.95,4012507.7495999997,396762.8144708,609995.1900124,243390.64996769401,243390.64996769401,231424.60995890872,164371.1961227171,12806.314827697797,12806.314827697797,8166.985571492107,12456.788776837466,22370.727050061047,22370.727050061047,15520.444334632575,9794.02190256134,26860.295414023087,26860.295414023087,15171.840467706037,16929.97079654804,14410.751428497186,14410.751428497186,15489.73896792871,12773.469408240668,4.281308656071303e-05,0.00023627020693728695,181851.0750722688,113001.47898613325,174465.877367001,288306.33222402073,0.00021898021423969545,5.6666818434952855e-05
2,1704326533.592544,122666.68076693502,328688.4990039604,205584.10827567306,379043.47984800884,2.6795254990918353,1.8437392025444865,68679.74499999992,42851.45888051743,42841.805171306194,16.676953575789504,73.76488228689725,62.9065749615257,-223.555853727906,0.019536835154094514,15460576.4901,2178333.6077484,9667517.852,5793058.6381,1086451.1612986,1091882.4464498,294309.32096214534,294309.32096214534,327924.3810038749,119319.93449515625,8803.506555637243,8803.506555637243,6641.48428019377,7578.700425403637,5913.584060712399,5913.584060712399,14125.606613240072,16815.09120462864,10895.871110572378,10895.871110572378,15059.990915177545,15548.493900107766,8766.216314893156,8766.216314893156,15292.017035521974,46321.88825037686,0.00018902250576319972,0.0003200512448020388,155442.55901375425,112846.73038164436,173255.9733538709,201495.7208941099,0.0011597567195959393,0.0017573739199830492
3,1704326593.6243162,139934.04597085394,284900.5015834838,231596.60761983384,242563.47420010358,2.0359627252028725,1.0473533126973598,68667.99987500004,42852.09080996869,42843.04178723388,58.01182120901314,9.971334793353565,50.107352675088485,-119.64965161978722,0.025287846563213163,11855106.302099999,1555708.8682034,3539866.3816,8315239.920499999,341881.14133,1213827.7268734,250148.87333679313,250148.87333679313,203026.86002720674,181820.49623468317,9246.10776558767,9246.10776558767,10072.096493354116,10074.424610072669,10676.045239777197,10676.045239777197,13846.360338525428,13094.664465524467,9114.476341376383,9114.476341376383,8259.65016334374,15381.91496593979,5714.998899949162,5714.998899949162,7358.507177673934,11225.107343613732,0.00023324885903975166,0.0002532303413133007,119197.26630291417,139854.58382593695,118743.72591841959,187653.5675484149,0.001622334461155874,0.0005045900910595947
4,1704326653.6560884,206730.30818695182,272807.9729254956,210118.20167518075,263238.58071313315,1.3196322073819382,1.2528118869019762,68597.48140000008,42828.60294725964,42818.621755646804,75.58088774698172,30.50260774368757,75.48733212117975,-166.50114206969695,0.02126496946909984,15319777.4272,1600597.10166,8130692.1487,7189085.278500001,631903.8755514,968693.2261085999,226147.0174019106,226147.0174019106,205424.60334550127,160848.5989237854,11563.394625603525,11563.394625603525,13973.730605997973,12231.999478180034,9386.698202834705,9386.698202834705,15815.229116028908,12742.102217683589,13018.338452588314,13018.338452588314,13050.803845501578,12988.388473423032,12692.5242425587,12692.5242425587,14974.213800103387,11307.112582109792,9.758839367913839e-05,0.000262947809730906,179033.91786114965,177706.98820973636,171590.9461306257,176301.36879406153,0.0008308323098813188,0.00045815909371712805
5,1704326713.6878603,161601.12673171915,256112.2785438442,260987.75739005502,254780.5113438673,1.5848421587370922,0.9762163324890724,68553.21084810133,42847.565359115666,42836.88679959106,54.1923450085705,0.6287309285913104,25.44236101374327,-87.34575132355062,0.02877820641693292,9819192.6628,1804504.8576166998,2542582.7391,7276609.923699999,406752.7511448,1397752.1064719,206833.62097282044,206833.62097282044,199119.63037303838,185349.9418623204,15415.252173479932,15415.252173479932,16890.467122541377,9918.215308176788,20060.509404840617,20060.509404840617,15065.109400221014,16179.910354143565,8116.034494016156,8116.034494016156,11064.909700331522,17883.312031381087,5686.861498687102,5686.861498687102,12640.394747734825,31656.377834033232,6.37427746562272e-05,0.00023854559636756988,149444.48668955025,118095.86450460013,190227.94084985854,255901.9824307159,0.0004940741744830957,7.099751282929717e-05
6,1704326773.7196324,192360.50730850792,201207.99592000004,260503.0564608307,215125.90596409485,1.0459943089945303,0.8258095274841477,68491.45845333334,42792.66206726011,42780.77360735013,116.96132350641237,30.010315350191046,-8.225731826144559,-242.1926016142943,0.014413227126876312,23239040.299599998,4140143.7410139,9066488.1995,14172552.1001,2408490.5803202,1731653.1606937,160430.44303938744,160430.44303938744,165816.98255766556,216005.81098278912,11342.353373073332,11342.353373073332,16368.256060830896,8917.602122452994,7410.405711538279,7410.405711538279,9245.86370474774,10202.066229179043,14188.979244309281,14188.979244309281,10700.692749455946,11592.327886053401,7835.814551691686,7835.814551691686,12994.110891394674,13785.249240356161,0.00020279408520380875,0.0002716032108724059,169898.38050514262,107885.02822784167,149404.17118156565,199358.24827872333,0.001184358605134992,0.0004052466901409032
7,1704326833.7514045,136579.14577382995,308393.57200302737,163391.8373749501,341423.2701872253,2.257984337621468,2.0895980831877807,68445.54106329114,42818.13912175659,42803.33650278277,4.893274856522931,1.0141433456072524,114.2075170889102,-85.48289430770278,0.02019810684634835,7627375.8308,4570682.280323,4705176.1592999995,2922199.6715,3521468.5305063,1049213.7498167001,261052.83061750463,261052.83061750463,244228.89399441122,117807.00418243535,9080.16837510796,9080.16837510796,25923.342098702717,12530.746412075825,17576.383733018927,17576.383733018927,33298.48627135736,13919.123717664706,10549.81227623749,10549.81227623749,20060.450175548915,8876.10216856284,10134.377001158278,10134.377001158278,17912.097647205523,10258.860894211562,0.0002876632386896127,0.00023867720453116936,172719.54479730225,134285.22398545043,208269.84171079355,174924.37214281218,0.0019465367342957557,0.00011433060413245271
8,1704326893.7831767,193693.46030849888,282689.72617834806,210754.01945244535,255838.9636916754,1.4594696471842845,1.2139221086096676,68442.82738461532,42869.831061394165,42857.89915879,0.7177390344363235,2.4969918739321004,101.55984261048383,-67.85439847832708,0.030078046391497686,5846748.176700001,2113137.0629768,2623098.5518000005,3223649.6249,1115190.8211365002,997946.2418402998,237736.53735717028,237736.53735717028,200045.13745660786,154598.90259105104,13949.842432344303,13949.842432344303,8336.328897190444,12531.959768574454,11311.33543691175,11311.33543691175,12412.947459105191,11435.498082934497,6842.463458794511,6842.463458794511,18102.27826826229,16550.037404266313,12849.547493127406,12849.547493127406,16942.271610510004,15637.621605619173,7.123404123222475e-05,0.00023860317284520114,168687.76716210996,131699.6973610473,159751.4936122659,244116.29863255692,0.0005585423886569639,9.20218305798135e-05
9,1704326953.8149486,219449.51032597464,237998.95478142053,125529.18105770795,201396.3712568968,1.0845271626621185,1.604378914607205,68435.38963013695,42893.87297160216,42883.55174199624,8.452072996810998,23.073253801179458,128.0086289105138,-141.6370119918393,0.018993346032383174,14947795.93462,3275999.7651627003,9067213.15192,5880582.7827,2426833.2839687,849166.4811940001,209766.76930192928,209766.76930192928,145387.542191988,87330.69267931033,8785.928090472342,8785.928090472342,22429.84019381346,6266.588794624752,7501.045594423956,7501.045594423956,10753.674950304232,8383.791225557796,6184.4129180421505,6184.4129180421505,12562.938583265703,10675.419513488854,5760.798876552778,5760.798876552778,10262.375337525376,12872.688844726163,0.0001478526465337633,0.0002584318122606695,106673.79674890687,191544.45667447773,143044.53345999387,139476.55271830942,0.0012102869827606796,0.0004232906352452954
