,ts,spot_asks_depth,spot_bids_depth,perp_asks_depth,perp_bids_depth,spot_depth_ratio,perp_depth_ratio,oi,perp_mid_price,spot_mid_price,sells_slippage,buys_slippage,sells_premium_wrt_spot,buys_premium_wrt_spot,market_order_freq,perp_volume,spot_volume,perp_buy_volume,perp_sell_volume,spot_buy_volume,spot_sell_volume,spot_bids[0].liquidity,spot_asks[0].liquidity,perp_bids[0].liquidity,perp_asks[0].liquidity,spot_bids[1].liquidity,spot_asks[1].liquidity,perp_bids[1].liquidity,perp_asks[1].liquidity,spot_bids[2].liquidity,spot_asks[2].liquidity,perp_bids[2].liquidity,perp_asks[2].liquidity,spot_bids[3].liquidity,spot_asks[3].liquidity,perp_bids[3].liquidity,perp_asks[3].liquidity,spot_bids[4].liquidity,spot_asks[4].liquidity,perp_bids[4].liquidity,perp_asks[4].liquidity,spot_spread,perp_spread,spot_bids_depth_std,spot_asks_depth_std,perp_bids_depth_std,perp_asks_depth_std,spot_spread_std,perp_spread_std
0,1704240004.0,133090.37927889952,433640.01061426,220208.50021573962,433199.5179927608,3.2582370939490617,1.9672243240762848,79791.34373333331,45011.515110178414,44980.44471910112,14.78760712260335,2.7993467673623162,345.7447020406946,-342.12998078035326,0.025429117153374974,11519512.889200002,1666775.4193324002,8599752.6475,2919760.2417,1286420.3445259002,380355.0748065,363328.70942183875,363328.70942183875,358823.23783420754,165485.68380703035,26971.278800205615,26971.278800205615,16806.101984575052,13137.953804512004,16454.640366138858,16454.640366138858,16976.89084564539,9642.123758761996,12256.408273918865,12256.408273918865,21138.960437250767,9237.441611647495,14628.973752157932,14628.973752157932,19454.326891080917,22705.297233787984,2.5895050884595367e-05,0.00022799392542770255,130804.58720994859,130450.1272512101,264428.4551418386,196069.3271842908,6.659183146361595e-05,0.000128075875280127
1,1704240064.038221,177358.95295711956,268763.90403788304,330400.5052695914,361636.6891761707,1.5153669975874442,1.0945403636144322,79797.88447435905,45033.42552343006,45005.369847908645,1.4796831757969449,1.776916435392289,183.43878805339293,-242.8189504376929,0.020998243203233517,9209636.3452,1971646.6022076001,5203083.7066,4006552.6386,1031090.414786,940556.1874216,231068.16934376245,231068.16934376245,291449.6823530404,253864.18428624092,9968.63555498059,9968.63555498059,21937.377844067836,23199.64005373898,9907.137549479057,9907.137549479057,14822.493060917357,21569.71498644062,11931.888087823732,11931.888087823732,17156.065316949203,14050.12707786646,5888.073501837802,5888.073501837802,16271.070601196509,17716.838865304122,7.875645604747038e-05,0.0002249361340288329,152872.61095971704,118925.86314397772,357574.66943614115,260295.58352420887,0.0006394612126399859,4.021160442372859e-05
2,1704240124.076442,142473.62404231433,202537.77287664343,241976.75975943342,433935.10001111124,1.421580831105203,1.793292465121516,79801.99134117646,45040.20592243202,45010.354823651374,7.096718924879223,1.3416177849121025,256.06095870867017,-240.5128350684835,0.02681606101476328,8303393.0678,932545.0117762,4516747.2221,3786645.8457,454758.1843522,477786.82742399996,178461.6169678866,178461.6169678866,342668.99991551315,178343.18791268332,5282.81377540726,5282.81377540726,25397.603252515673,16365.290015094331,5995.3098972348635,5995.3098972348635,20492.949805240973,14900.213675576388,6542.678400911,6542.678400911,20981.1151344864,13991.46069119493,6255.3538352041505,6255.3538352041505,24394.43190335422,18376.607464884666,6.743086840445552e-05,0.0002338904726192814,131678.14022774078,119316.49520011985,292692.3855261271,234961.44167958968,0.0005905269945434324,0.00020516526589488152
3,1704240184.114663,135930.78321081222,333341.951684155,300483.6515787458,216805.6138018065,2.452291848912412,0.7215221615642196,79802.73095000001,45044.519872476,45012.82490888367,0.2739444029681706,1.6954116766866032,206.6439501680607,-210.92386597477673,0.044244263456275426,3938381.2843000004,659167.3051663,1903419.9102000003,2034961.3741000001,247202.5744552,411964.73071110004,271721.13524682244,271721.13524682244,171012.3739206156,224778.7761056327,28695.271774553723,28695.271774553723,16948.4429453774,14673.485972476039,18584.195496471028,18584.195496471028,11820.106649096597,22147.20208352827,7850.713737728959,7850.713737728959,8064.732316471865,18728.090785759876,6490.6354285786165,6490.6354285786165,8959.957970244419,20156.09663134971,5.389660161191196e-05,0.00022459801456053353,204071.27653486645,132904.29242970754,194989.4915046497,212196.9550089741,0.0005292921100391889,6.0100689027052974e-05
4,1704240244.152884,356613.3282687406,123382.18643757071,596307.8634392866,209443.21587224508,0.3459831045478788,0.3512333623512071,79807.38727586216,45005.39214285698,44976.579817987214,7.02344232296547,0.8969189566612049,228.1832337192151,-175.69847506223857,0.03129780554098769,6299054.688999999,965016.5431108,1551165.6809999999,4747889.007999999,345001.6934399,620014.8496709,108238.60752447505,108238.60752447505,132325.5383139794,487877.3495957135,6595.139890080742,6595.139890080742,16679.75785969388,27469.161869081687,4474.488406674519,4474.488406674519,10585.925632653072,27305.544529081657,2320.5249652623124,2320.5249652623124,28455.816768775476,25306.724147449,1753.425651077944,1753.425651077944,21396.177297142913,28349.083297959183,6.011753746770053e-05,0.00022264916471481904,139409.6589106682,151853.1875957485,213167.32569820777,259782.3177678819,0.0004754210900912152,1.0036503106005365e-05
5,1704240304.191105,182329.04607233847,222067.53444123108,304422.43369164964,359840.1353763922,1.217949302236389,1.1820421084369732,79820.35291139239,44989.95247422719,44959.100455426546,4.1423620386091855,25.62725815958566,201.65312266476204,-254.25973905032282,0.02478316757414076,7910134.794,1452195.1496618998,5138693.0766,2771441.7174,547675.2886226999,904519.8610391999,186218.0431869871,186218.0431869871,278042.6027393815,235192.4023230931,8540.265322604642,8540.265322604642,31497.720312164987,19347.83781690722,9921.955254528135,9921.955254528135,21049.470777216462,21453.488656185582,5886.689105773838,5886.689105773838,13602.61708061856,16760.53152958764,11500.58157133722,11500.58157133722,15647.724467010281,11668.173365876235,0.00010520866885147065,0.00022548048574714006,161131.54323990174,166679.43100159473,317024.680691208,263856.515632166,0.0006069981444135401,6.538076754751258e-05
6,1704240364.229326,88181.65161472026,256574.7760212218,150183.10696448808,353311.78483464016,2.9096163580858976,2.3525401223599895,79833.30239240505,45015.78714596967,44984.20487499998,4.576336174882483,32.3902185210108,300.6305580207866,-350.3552586312007,0.024171925574830434,10907458.4234,1786595.8291220998,7027418.5481,3880039.8753000004,1154367.7056343998,632228.1234877,212079.46163948934,212079.46163948934,279206.4746762528,121364.79031296291,10482.423387991297,10482.423387991297,13723.331702069674,4207.30825751636,12033.52926329588,12033.52926329588,26040.90938594763,9667.205346296278,12867.49745026312,12867.49745026312,16025.266050217808,8499.939909912873,9111.864280182264,9111.864280182264,18315.803020152518,6443.863137799577,0.00020151681966961872,0.0002613377650476698,153609.68587180227,83250.80265052812,215553.28204645545,146561.48666912087,0.00137473918831878,0.0006862409432249099
7,1704240424.267547,143404.8577964327,162305.05238304898,236160.0136198994,305272.48499246204,1.1317960554268367,1.2926510306008006,79871.96422891563,45079.07351758811,45046.864320987486,2.4188068644600644,15.696862184739015,360.4010327494073,-344.0267633849698,0.019983423578884347,14108192.64667,988931.8969413,8440920.283470001,5667272.3632,541473.0701083,447458.826833,142714.38747938356,142714.38747938356,229602.0318493469,173617.98281005022,4905.005477482716,4905.005477482716,9078.55872542714,16118.12509075381,7596.8977956457275,7596.8977956457275,20062.62715618097,12892.406491155767,4140.0849244985775,4140.0849244985775,23263.417808542803,16168.941918592865,2948.676706038684,2948.676706038684,23265.84945296481,17362.55730934673,3.243148429121925e-05,0.00025214478443586906,102744.97208646248,132856.53553535786,223072.722936478,185815.2513726639,0.00017620760763817765,0.0007068580769827152
8,1704240484.305768,210683.80367311084,171343.21490502587,369254.3290549459,232469.97519569902,0.8132718885732462,0.6295660115635555,79871.45407692307,45044.285268817,45010.53050755944,2.6647126074713507,0.4512284697413394,178.13774122981005,-239.91425369181226,0.039644772022083684,4281333.1878,684119.1488704999,1871225.803,2410107.3848,266278.47276629996,417840.67610419996,147215.5717486906,147215.5717486906,182084.3175683865,288523.2507783873,16797.001367446686,16797.001367446686,11799.385728817271,20616.88668279564,4421.950118520316,4421.950118520316,12077.943859784938,24917.83875053769,1551.5316833896254,1551.5316833896254,13958.550369139826,15651.66630999997,1357.1599869786112,1357.1599869786112,12549.777669569934,19544.686533225704,4.581552641155325e-05,0.00022773160666176418,128215.71363253244,134071.62618352435,215957.21951530798,274084.8603506897,0.00025802165923004034,0.0001746742997283192
9,1704240544.343989,131969.43360051673,240360.516771267,241983.2248077754,366540.22483164107,1.8213347607360335,1.514734028041862,79851.46744943825,45039.921544276476,45006.071985294315,28.732286837926583,1.4463167933001715,315.10795863150247,-229.0097359548016,0.03121491913753185,7388062.6032,1277016.8075195001,2962713.4117,4425349.1915,583761.8217882,693254.9857313001,187172.9896878815,187172.9896878815,281873.27440691163,189046.7635265653,19469.553435049136,19469.553435049136,19012.958284665267,9281.384850431987,17566.344053759643,17566.344053759643,25562.118083693138,16892.89169233263,8046.664506938053,8046.664506938053,23715.218538228888,15606.615804427633,8104.965087638643,8104.965087638643,16376.65551814247,11155.568934017223,7.182922779527653e-05,0.00023616979883067806,149866.52169492465,166164.5220238666,281911.17891487846,189200.78872606825,0.00045069251368644433,0.0002352932141486848
