,ts,spot_asks_depth,spot_bids_depth,perp_asks_depth,perp_bids_depth,spot_depth_ratio,perp_depth_ratio,oi,perp_mid_price,spot_mid_price,sells_slippage,buys_slippage,sells_premium_wrt_spot,buys_premium_wrt_spot,market_order_freq,perp_volume,spot_volume,perp_buy_volume,perp_sell_volume,spot_buy_volume,spot_sell_volume,spot_bids[0].liquidity,spot_asks[0].liquidity,perp_bids[0].liquidity,perp_asks[0].liquidity,spot_bids[1].liquidity,spot_asks[1].liquidity,perp_bids[1].liquidity,perp_asks[1].liquidity,spot_bids[2].liquidity,spot_asks[2].liquidity,perp_bids[2].liquidity,perp_asks[2].liquidity,spot_bids[3].liquidity,spot_asks[3].liquidity,perp_bids[3].liquidity,perp_asks[3].liquidity,spot_bids[4].liquidity,spot_asks[4].liquidity,perp_bids[4].liquidity,perp_asks[4].liquidity,spot_spread,perp_spread,spot_bids_depth_std,spot_asks_depth_std,perp_bids_depth_std,perp_asks_depth_std,spot_spread_std,perp_spread_std
0,1704412807.0,128290.35897787505,133210.6926204999,121583.212014249,148195.33178722244,1.0383531052670405,1.218879887544463,728352.6501012659,2268.477469135785,2267.9389543269194,3.9945800481481415,0.9828287583616647,34.96815369506924,-41.94768871107875,0.0307721193925834,3261131.51036,440440.804339,1274201.3662300003,1986930.14413,183099.58915100002,257341.215188,92975.75725624275,92975.75725624275,104992.34236904338,67175.83884056579,16094.783615725939,16094.783615725939,15432.05267978401,9517.710703168768,8665.805730490349,8665.805730490349,8139.580157088476,10150.253276368217,8695.251063432672,8695.251063432672,8847.649668600849,20467.039073168697,6779.094954608136,6779.094954608136,10783.706912705813,14272.370120977394,0.0004589502482736795,0.00044173140529184924,80893.27455592655,78135.67169938525,130756.08359194011,97610.9257561581,0.00016530102402250466,1.9987142657434063e-05
1,1704412867.0361362,81454.5936309805,212499.10042608535,105764.7693768614,134447.41913410177,2.608804377427565,1.2711928549197535,728415.7813947372,2269.751439393929,2269.095839416076,0.17493213178354747,2.9994031131223045,28.332971509975845,-71.4607739802666,0.052453825949783796,2279768.71419,276593.776206,1950768.26532,329000.44887,250236.03812,26357.738086,147970.66585871062,147970.66585871062,102483.67769664506,68344.32108813843,24432.328853106945,24432.328853106945,4423.951210573598,1640.9935809632154,17082.037846467185,17082.037846467185,8091.920108722942,9140.376974956725,10694.470705961106,10694.470705961106,9933.490483474001,11196.068527716468,12319.597161839421,12319.597161839421,9514.37963468612,15443.009205086533,0.00044392264257751737,0.0004405769033868014,68359.43492408685,53993.56198415043,83999.74698315309,77186.0775283319,6.525905148516854e-05,1.0854586950394768e-07
2,1704412927.0722723,183953.46849053254,94393.00898440985,143657.48879668498,86807.76262393681,0.5131352496855364,0.6042689688582387,728534.3600000005,2269.467284623777,2268.9250652741453,0.7290209387880672,0.5265773126856184,29.192202965212527,-63.7576646424793,0.043970543812408905,2335606.8545299997,125180.788479,1088918.2697899998,1246688.5847399998,66411.761524,58769.026954999994,57969.76577618536,57969.76577618536,45467.1253712433,98345.04320673915,6784.253814083535,6784.253814083535,1908.5318941657588,5715.804570817868,20771.388606892968,20771.388606892968,4449.664399825519,7580.031231155967,5753.207029117492,5753.207029117492,11207.536798604157,14316.665498778628,3114.393758130572,3114.393758130572,23774.90416009815,17699.944289193067,0.000453394652340735,0.0004411125342701862,47523.96925958206,71628.87864271765,129068.78659460312,90079.10028413295,0.00015072476176520718,1.4549263499743478e-05
3,1704412987.1084087,213364.11766962768,83445.94651371358,114243.58106893756,101120.97225723958,0.3910964384504475,0.8851348260539955,728729.8901264373,2268.264994791657,2267.773758949888,1.4822302711703799,6.271669795938438,36.13552304683362,-61.069415400024354,0.03979158321857134,2677699.1386,428686.062157,1120675.6973899999,1557023.44121,219062.354153,209623.70800400001,58827.25262979243,58827.25262979243,52587.25799768759,76785.85654691677,4244.367480147975,4244.367480147975,4326.692241760445,5282.995276333349,7388.637715966564,7388.637715966564,6092.213784500004,10052.497967468671,6457.157282312638,6457.157282312638,20046.2316426145,11228.083487677071,6528.531405494047,6528.531405494047,18068.576590677047,10894.14779054168,0.0005019844137387073,0.0004413250002742758,70738.96641437158,93249.58093567057,133180.29262163764,83237.82594216013,0.0008879702269008598,1.4237563848461439e-05
4,1704413047.1445448,183637.92050879035,105310.57382101749,98688.22872355166,141510.15160952398,0.5734685599207517,1.4339111506999112,728907.4717640445,2267.194662698406,2266.715829694326,1.560492085752762,1.1830717395838377,27.884932429019926,-30.21984946189141,0.02585239527706036,3167504.12566,502766.60997099994,1408615.55424,1758888.57142,272170.63639199996,230595.97357899998,72020.40939724233,72020.40939724233,94409.9622018157,66404.97626803575,9376.82484803276,9376.82484803276,11945.969269345222,5977.633857857132,10848.805562672518,10848.805562672518,14761.853984107118,6674.906567926596,6219.0861611091605,6219.0861611091605,9734.063295803577,10211.638684563495,6845.447851960713,6845.447851960713,10658.302858452413,9419.073345168594,0.00045657227229787954,0.0004419485787757007,93233.88672059836,121764.20661684596,135017.10558562863,116314.97125132671,0.0001479294974481175,2.7767521598101045e-05
5,1704413107.180681,138464.4547319095,129353.09735187767,93415.72215913757,86951.31924485815,0.9341971381920873,0.9307996259637427,729167.4481315786,2268.8118558951755,2268.2250565610802,0.39084919347778646,0.8003812372241039,37.57395979317575,-36.987592902104694,0.035230723881174215,2294261.06338,466347.952821,1133904.0117600001,1160357.05162,191002.257229,275345.69559200003,89586.28415665835,89586.28415665835,60481.61474858093,65529.59640477078,14003.554739427576,14003.554739427576,5437.0729181768065,6297.324627892985,11182.305426481951,11182.305426481951,6883.922630927963,6480.448509344983,6908.375467606347,6908.375467606347,6968.252134519654,6598.199960545853,7672.577561703626,7672.577561703626,7180.4568126528575,8510.152656582994,0.000497728823158659,0.0004436473655968153,93676.5630639954,89942.45083157466,83088.20455512521,78458.56202939614,0.00035356073084914384,6.178521844255386e-05
6,1704413167.2168171,147437.23327019718,93875.31846521374,108122.1693937296,92148.39131919999,0.6367137824214015,0.8522617686631805,729266.1291621622,2268.6011837837755,2268.0217458432417,0.38754595369443445,1.0539698217652012,14.58888049988999,-27.333610066094966,0.04844417276670025,940867.6307000001,504802.123158,466969.35794,473898.27276,161496.96925800003,343305.1539,65608.84697190249,65608.84697190249,61145.474609308185,69850.6561006811,8684.355893413349,8684.355893413349,3922.7195971675733,7353.9287937729405,8686.968414220917,8686.968414220917,7905.575326010793,8005.857749081083,5209.9219520023635,5209.9219520023635,13545.797076508132,10325.647312454075,5685.225233674593,5685.225233674593,5628.824710205421,12586.079437740536,0.0004639525718294625,0.00044080028970873,83334.00763726965,90281.83416889624,92391.77854191553,105884.51522045762,0.0002659757990958975,1.0716574493848654e-07
7,1704413227.2529535,143385.98149342954,103050.75681044531,127835.88359496469,84680.5847905177,0.7186947826916222,0.6624163920892489,729367.337666666,2268.727270588229,2268.109888143186,1.28126271521462,0.42354649577985215,28.03972397631577,-23.03142595935992,0.0515540190163417,1043631.5727299999,428940.099808,526229.5325499999,517402.04018,220509.204275,208430.89553300003,66204.57682253218,66204.57682253218,61089.34213110592,81398.22933203512,11409.274063147657,11409.274063147657,3634.9236954352955,9586.741635600032,9179.018147845614,9179.018147845614,5551.678631976445,11849.958765141155,8242.70188468233,8242.70188468233,7174.370958823516,12707.896454129457,8015.185892237121,8015.185892237121,7230.269373176449,12293.057408058821,0.00046949690070669675,0.00044181272594488556,80433.52616488568,84928.20786679073,90626.7092137545,121767.36988576669,0.00019258852280097452,3.022901186449042e-05
8,1704413287.2890897,150959.1730262268,119067.3404854176,126996.05344103696,58434.94426627652,0.7887386907235607,0.4601319701120264,729368.8636024089,2267.9329765886314,2267.319355608589,2.726267149644222,0.6696019637812806,26.430994107250207,-38.79968995277377,0.05146845291685007,1418218.7985200002,522739.756389,630882.90358,787335.89494,342108.535674,180631.22071500003,81443.62480942489,81443.62480942489,41030.28871287619,87235.84699453742,11595.044924730288,11595.044924730288,3448.7711983835056,9716.087511750246,8903.981734890243,8903.981734890243,4676.330483076903,7915.426164303219,8095.599459436787,8095.599459436787,4747.921528193961,11739.919305150474,9029.08955693558,9029.08955693558,4531.632343745815,10388.77346529543,0.00045263051013508975,0.00044240496134553316,109428.26287254381,75172.3044484163,62296.61326893723,100570.11148111531,0.00011958170270686258,3.2909078148771565e-05
9,1704413347.3252258,156685.997891367,203067.17205598496,80701.12201632893,85294.15189353273,1.2960135225151057,1.0569140770592318,729316.141107143,2266.9674971231166,2266.446625475299,3.0947556284408684,3.5584277512374842,23.6472906089719,-34.01654629838808,0.05981717157845545,1123207.74816,558539.673245,504971.14006,618236.6081000001,103633.735181,454905.938064,161941.49333505888,161941.49333505888,64180.540944660475,56581.13327638666,14621.025088220526,14621.025088220526,3506.8960129343836,3954.9024508055327,10269.11800488018,10269.11800488018,5386.568373498248,5713.260405258885,7816.895696275686,7816.895696275686,7008.4335238434805,8088.47681691604,8418.639931549405,8418.639931549405,5211.71303859609,6363.349066962078,0.0004454133100366418,0.0004411179361295496,123399.90836803646,83401.41173560591,77884.28437390347,88254.43328901294,9.618767379680017e-05,6.782390096637152e-08
